GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,TTRACTA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,LGM001,LGM002,LGM003
"G010","2010","3","6","Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,"Alabama",4663920,1129468,3534452
"G020","2010","4","9","Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,"Alaska",683879,186152,497727
"G040","2010","4","8","Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,"Arizona",6252633,1624111,4628522
"G050","2010","3","7","Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas",2836987,708491,2128496
"G060","2010","4","9","California","06",,,,,,,,,,,,,,,,,,,,,,,,,,"California",36434140,9263709,27170431
"G080","2010","4","8","Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,"Colorado",4913318,1222097,3691221
"G090","2010","1","1","Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,"Connecticut",3455945,814469,2641476
"G100","2010","3","5","Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware",873521,204996,668525
"G110","2010","3","5","District Of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,"District of Columbia",561702,99806,461896
"G120","2010","3","5","Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,"Florida",18379601,3987907,14391694
"G130","2010","3","5","Georgia","13",,,,,,,,,,,,,,,,,,,,,,,,,,"Georgia",9434454,2483830,6950624
"G150","2010","4","9","Hawaii","15",,,,,,,,,,,,,,,,,,,,,,,,,,"Hawaii",1317421,301262,1016159
"G160","2010","4","8","Idaho","16",,,,,,,,,,,,,,,,,,,,,,,,,,"Idaho",1538631,427876,1110755
"G170","2010","2","3","Illinois","17",,,,,,,,,,,,,,,,,,,,,,,,,,"Illinois",12528859,3120803,9408056
"G180","2010","2","3","Indiana","18",,,,,,,,,,,,,,,,,,,,,,,,,,"Indiana",6296879,1602758,4694121
"G190","2010","2","4","Iowa","19",,,,,,,,,,,,,,,,,,,,,,,,,,"Iowa",2948243,724746,2223497
"G200","2010","2","4","Kansas","20",,,,,,,,,,,,,,,,,,,,,,,,,,"Kansas",2774044,724766,2049278
"G210","2010","3","6","Kentucky","21",,,,,,,,,,,,,,,,,,,,,,,,,,"Kentucky",4213497,1019685,3193812
"G220","2010","3","7","Louisiana","22",,,,,,,,,,,,,,,,,,,,,,,,,,"Louisiana",4405945,1115171,3290774
"G230","2010","1","1","Maine","23",,,,,,,,,,,,,,,,,,,,,,,,,,"Maine",1292816,273222,1019594
"G240","2010","3","5","Maryland","24",,,,,,,,,,,,,,,,,,,,,,,,,,"Maryland",5635177,1349054,4286123
"G250","2010","1","1","Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,"Massachusetts",6308747,1412188,4896559
"G260","2010","2","3","Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,"Michigan",9654572,2337210,7317362
"G270","2010","2","4","Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,"Minnesota",5168530,1279303,3889227
"G280","2010","3","6","Mississippi","28",,,,,,,,,,,,,,,,,,,,,,,,,,"Mississippi",2875333,752092,2123241
"G290","2010","2","4","Missouri","29",,,,,,,,,,,,,,,,,,,,,,,,,,"Missouri",5814785,1419225,4395560
"G300","2010","4","8","Montana","30",,,,,,,,,,,,,,,,,,,,,,,,,,"Montana",960566,220708,739858
"G310","2010","2","4","Nebraska","31",,,,,,,,,,,,,,,,,,,,,,,,,,"Nebraska",1775176,457097,1318079
"G320","2010","4","8","Nevada","32",,,,,,,,,,,,,,,,,,,,,,,,,,"Nevada",2664397,663751,2000646
"G330","2010","1","1","New Hampshire","33",,,,,,,,,,,,,,,,,,,,,,,,,,"New Hampshire",1276366,286231,990135
"G340","2010","1","2","New Jersey","34",,,,,,,,,,,,,,,,,,,,,,,,,,"New Jersey",8605018,2060428,6544590
"G350","2010","4","8","New Mexico","35",,,,,,,,,,,,,,,,,,,,,,,,,,"New Mexico",2016550,516594,1499956
"G360","2010","1","2","New York","36",,,,,,,,,,,,,,,,,,,,,,,,,,"New York",18792424,4298972,14493452
"G370","2010","3","5","North Carolina","37",,,,,,,,,,,,,,,,,,,,,,,,,,"North Carolina",9278237,2275500,7002737
"G380","2010","2","4","North Dakota","38",,,,,,,,,,,,,,,,,,,,,,,,,,"North Dakota",647535,149188,498347
"G390","2010","2","3","Ohio","39",,,,,,,,,,,,,,,,,,,,,,,,,,"Ohio",11230238,2723669,8506569
"G400","2010","3","7","Oklahoma","40",,,,,,,,,,,,,,,,,,,,,,,,,,"Oklahoma",3639334,926741,2712593
"G410","2010","4","9","Oregon","41",,,,,,,,,,,,,,,,,,,,,,,,,,"Oregon",3744432,862598,2881834
"G420","2010","1","2","Pennsylvania","42",,,,,,,,,,,,,,,,,,,,,,,,,,"Pennsylvania",12276266,2777936,9498330
"G440","2010","1","1","Rhode Island","44",,,,,,,,,,,,,,,,,,,,,,,,,,"Rhode Island",1009904,223144,786760
"G450","2010","3","5","South Carolina","45",,,,,,,,,,,,,,,,,,,,,,,,,,"South Carolina",4486210,1076703,3409507
"G460","2010","2","4","South Dakota","46",,,,,,,,,,,,,,,,,,,,,,,,,,"South Dakota",780130,199028,581102
"G470","2010","3","6","Tennessee","47",,,,,,,,,,,,,,,,,,,,,,,,,,"Tennessee",6192633,1492167,4700466
"G480","2010","3","7","Texas","48",,,,,,,,,,,,,,,,,,,,,,,,,,"Texas",24564422,6848817,17715605
"G490","2010","4","8","Utah","49",,,,,,,,,,,,,,,,,,,,,,,,,,"Utah",2717733,867259,1850474
"G500","2010","1","1","Vermont","50",,,,,,,,,,,,,,,,,,,,,,,,,,"Vermont",600412,128644,471768
"G510","2010","3","5","Virginia","51",,,,,,,,,,,,,,,,,,,,,,,,,,"Virginia",7761190,1848205,5912985
"G530","2010","4","9","Washington","53",,,,,,,,,,,,,,,,,,,,,,,,,,"Washington",6585165,1576729,5008436
"G540","2010","3","5","West Virginia","54",,,,,,,,,,,,,,,,,,,,,,,,,,"West Virginia",1803612,385917,1417695
"G550","2010","2","3","Wisconsin","55",,,,,,,,,,,,,,,,,,,,,,,,,,"Wisconsin",5536772,1335681,4201091
"G560","2010","4","8","Wyoming","56",,,,,,,,,,,,,,,,,,,,,,,,,,"Wyoming",549914,134777,415137
"G720","2010","9","0","Puerto Rico","72",,,,,,,,,,,,,,,,,,,,,,,,,,"Puerto Rico",3687834,901015,2786819
